source,word,action
triage-pass-1,jazzy,keep
triage-pass-1,pizzazz,keep
triage-pass-1,fizz,keep
triage-pass-1,fuzz,keep
triage-pass-1,muzz,ditch
triage-pass-1,pizazz,keep
triage-pass-1,fizzy,keep
triage-pass-1,whizz,keep
triage-pass-1,muzzy,ditch
triage-pass-1,razz,keep
triage-pass-1,dizzy,keep
triage-pass-1,jazzed,keep
triage-pass-1,hajj,keep
triage-pass-1,frizz,keep
triage-pass-1,swizz,ditch
triage-pass-1,tizzy,keep
triage-pass-1,abuzz,keep
triage-pass-1,frizzy,keep
triage-pass-1,huzzah,keep
triage-pass-1,jeez,keep
triage-pass-1,mezzo,keep
triage-pass-1,quizzed,keep
triage-pass-1,jacuzzi,keep
triage-pass-1,jazzman,keep
triage-pass-1,quizzes,keep
triage-pass-1,scuzzy,keep
triage-pass-1,razzmatazz,keep
triage-pass-1,hazy,keep
triage-pass-1,whiz,keep
triage-pass-1,jazzing,keep
triage-pass-1,fizzed,keep
triage-pass-1,fuzzed,keep
triage-pass-1,tazza,ditch
triage-pass-1,zazen,ditch
triage-pass-1,whizzed,keep
triage-pass-1,buzzed,keep
triage-pass-1,chez,keep
triage-pass-1,fizzes,keep
triage-pass-1,fizzle,keep
triage-pass-1,jinx,keep
triage-pass-1,juju,keep
triage-pass-1,mazy,ditch
triage-pass-1,quizzing,keep
triage-pass-1,snazzy,keep
triage-pass-1,whizzes,keep
triage-pass-1,hajji,ditch
triage-pass-1,buzzer,keep
triage-pass-1,buzzes,keep
triage-pass-1,mizzen,ditch
triage-pass-1,muzzle,keep
triage-pass-1,piazza,keep
triage-pass-1,pizzas,keep
triage-pass-1,zigzag,keep
triage-pass-1,buzzsaw,keep
triage-pass-1,mezuzah,ditch
triage-pass-1,dozy,keep
triage-pass-1,foxy,keep
triage-pass-1,jiff,keep
triage-pass-1,jock,keep
triage-pass-1,waxy,keep
triage-pass-1,zonk,keep
triage-pass-1,quizzical,keep
triage-pass-1,jiffy,keep
triage-pass-1,zappy,keep
triage-pass-1,zippy,keep
triage-pass-1,dazzle,keep
triage-pass-1,guzzle,keep
triage-pass-1,izzard,ditch
triage-pass-1,syzygy,ditch
triage-pass-1,drizzly,keep
triage-pass-1,fizzing,keep
triage-pass-1,fizzled,keep
triage-pass-1,fuzzing,keep
triage-pass-1,grizzly,keep
triage-pass-1,whizzing,keep
triage-pass-1,boxy,keep
triage-pass-1,buzzard,keep
triage-pass-1,buzzkill,keep
triage-pass-1,buzzword,keep
triage-pass-1,exch,ditch
triage-pass-1,faze,keep
triage-pass-1,fizzles,keep
triage-pass-1,frazzle,keep
triage-pass-1,freq,ditch
triage-pass-1,frizzle,keep
triage-pass-1,futz,keep
triage-pass-1,fuze,ditch
triage-pass-1,fuzzier,keep
triage-pass-1,hafiz,ditch
triage-pass-1,haze,keep
triage-pass-1,muzak,keep
triage-pass-1,muzzled,keep
triage-pass-1,nozzle,keep
triage-pass-1,nuzzle,keep
triage-pass-1,oozy,keep
triage-pass-1,oyez,ditch
triage-pass-1,pixy,ditch
triage-pass-1,pkwy,ditch
triage-pass-1,puzzled,keep
triage-pass-1,quack,keep
triage-pass-1,quaff,keep
triage-pass-1,quay,keep
triage-pass-1,quiff,ditch
triage-pass-1,quinze,ditch
triage-pass-1,sizzle,keep
triage-pass-1,swizzle,keep
triage-pass-1,wheezy,keep
triage-pass-1,woozy,keep
triage-pass-1,zany,keep
triage-pass-1,quizzically,keep
triage-pass-1,dizzying,keep
triage-pass-1,fuzzball,keep
